time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-25T07:04:18.790Z,23.661,96.0256,10,4.6,mb,,64,1.676,0.61,us,us70006quh,2020-03-14T22:24:59.040Z,"96 km NNW of Mogok, Myanmar",earthquake,7.3,1.9,0.096,32,reviewed,us,us
2019-12-22T14:59:31.805Z,23.6551,94.0597,10,3.8,mb,,117,0.612,1.06,us,us70006x2s,2020-03-07T17:48:04.040Z,"35 km W of Mawlaik, Myanmar",earthquake,4.2,2,0.511,1,reviewed,us,us
2019-12-19T22:16:20.980Z,34.6953,79.7421,10,4.5,mb,,109,5.466,0.75,us,us70006nu2,2020-03-07T17:47:36.040Z,"206 km ENE of Leh, India",earthquake,8.7,1.9,0.093,34,reviewed,us,us
2019-12-19T12:07:55.485Z,32.4723,86.9509,10,4.9,mb,,84,4.522,1.09,us,us70006nf9,2020-03-07T17:47:34.040Z,western Xizang,earthquake,6.3,1.8,0.052,116,reviewed,us,us
2019-12-18T14:09:17.268Z,33.5899,71.63,46.36,4.5,mb,,91,1.368,0.69,us,us60006t6q,2021-06-23T01:28:30.664Z,"16 km E of Kohat, Pakistan",earthquake,6.2,6.3,0.081,52,reviewed,us,us
2019-12-16T06:08:42.593Z,8.5479,91.8576,10,4.2,mb,,208,17.215,0.49,us,us70006tsa,2020-03-04T21:27:24.040Z,"Nicobar Islands, India region",earthquake,12,2,0.159,11,reviewed,us,us
2019-12-16T03:10:30.166Z,24.0847,93.875,55.37,4.4,mb,,91,0.414,0.6,us,us60006s03,2020-03-04T21:27:07.040Z,"34 km SE of Chur?ch?ndpur, India",earthquake,6.8,7.9,0.169,10,reviewed,us,us
2019-12-15T03:53:33.034Z,24.9171,95.0882,110.85,4.4,mb,,117,0.991,1.02,us,us70006tmu,2020-03-04T21:27:21.040Z,"101 km SE of Phek, India",earthquake,5.6,7.9,0.148,13,reviewed,us,us
2019-12-13T23:52:40.214Z,20.0829,73.1729,10,4.3,mb,,103,13.231,1.21,us,us60006rxd,2020-03-04T21:27:07.040Z,"19 km NNW of Jawh?r, India",earthquake,8.7,1.9,0.137,15,reviewed,us,us
2019-12-12T13:26:31.828Z,27.9194,85.7168,10,4.2,mb,,147,0.969,1.18,us,us60006qji,2020-03-04T21:26:57.040Z,"24 km W of Kod?ri??, Nepal",earthquake,8.1,1.9,0.098,29,reviewed,us,us
